bill_id,date,chamber,sequence,action
1299419,2020-01-27,Senate,5,"Proposed Substitute"
1299419,2020-01-28,Senate,6,"Committee recommends passage of Sub A"
1299419,2020-01-29,Senate,7,"Placed on Senate Calendar (02/04/2020)"
1299419,2020-02-04,Senate,8,"Senate passed Sub A"
1299419,2020-02-04,House,9,"Placed on House Calendar (02/04/2020)"
1299419,2020-02-04,House,10,"House passed Sub A in concurrence"
1299419,2020-02-04,Senate,11,"Transmitted to Governor"
1299419,2020-02-05,Senate,12,"Signed by Governor"
1299438,2020-01-08,House,1,"House read and passed"
1299456,2020-01-08,House,1,"House read and passed"
1299476,2020-01-08,House,1,"House read and passed"
1299495,2020-01-08,House,1,"House read and passed"
1299512,2020-01-08,Senate,1,"Introduced, referred to Senate Judiciary"
1299512,2020-01-17,Senate,2,"Scheduled for hearing and/or consideration (01/21/2020)"
1299512,2020-01-17,Senate,3,"Proposed Substitute"
1299512,2020-01-21,Senate,4,"Committee recommends passage of Sub A"
1299512,2020-01-22,Senate,5,"Placed on Senate Calendar (01/29/2020)"
1299512,2020-01-29,Senate,6,"Senate passed Sub A as amended (floor amendment)"
1299512,2020-01-30,House,7,"Referred to House Judiciary"
1299512,2020-02-17,House,8,"Scheduled for hearing and/or consideration (02/25/2020)"
1299512,2020-02-21,House,9,"Proposed Substitute"
1299512,2020-02-25,House,10,"Committee recommends passage of Sub B"
1299512,2020-02-25,House,11,"Placed on House Calendar (02/27/2020)"
1299512,2020-02-27,House,12,"House voted to recommit to House Judiciary"
1299512,2020-02-28,House,13,"Scheduled for consideration"
1299512,2020-02-28,House,14,"Proposed Substitute"
1299512,2020-03-03,House,15,"Meeting postponed (03/03/2020)"
1299512,2020-03-03,House,16,"Meeting postponed (03/03/2020)"
1299512,2020-03-06,House,17,"Scheduled for consideration (03/10/2020)"
1299512,2020-03-09,House,18,"Proposed Substitute"
1299512,2020-03-10,House,19,"Committee recommends passage of Sub B"
1299512,2020-03-10,House,20,"Placed on House Calendar (03/12/2020)"
1299512,2020-03-12,House,21,"House passed Sub B"
1299512,2020-06-15,Senate,22,"Placed on Senate Calendar (06/17/2020)"
1299512,2020-06-17,Senate,23,"Senate passed Sub B in concurrence"
1299512,2020-06-17,House,24,"Transmitted to Governor"
1299512,2020-06-23,House,25,"Signed by Governor"
1299527,2020-01-08,House,1,"House read and passed"
1299548,2020-01-08,House,1,"Introduced, referred to House Judiciary"
1299548,2020-01-16,House,2,"Scheduled for hearing and/or consideration (01/21/2020)"
1299548,2020-01-21,House,3,"Committee recommended measure be held for further study"
1299548,2020-01-24,House,4,"Scheduled for consideration (01/28/2020)"
1299548,2020-01-27,House,5,"Proposed Substitute"
1299548,2020-01-28,House,6,"Committee recommends passage of Sub A"
1299548,2020-01-31,House,7,"Placed on House Calendar (02/04/2020)"
1299548,2020-02-04,House,8,"House passed Sub A"
1299548,2020-02-04,Senate,9,"Senate passed Sub A in concurrence"
1299548,2020-02-04,House,10,"Transmitted to Governor"
1299548,2020-02-05,House,11,"Signed by Governor"
1299566,2020-01-08,Senate,1,"Introduced, referred to Senate Judiciary"
1299566,2020-01-31,Senate,2,"Scheduled for hearing and/or consideration (02/04/2020)"
1299566,2020-02-04,Senate,3,"Committee recommends passage"
1299566,2020-02-05,Senate,4,"Placed on Senate Calendar (02/11/2020)"
1299566,2020-02-11,Senate,5,"Senate passed as amended (floor amendment)"
1299566,2020-02-12,House,6,"Referred to House Judiciary"
1299585,2020-01-08,House,1,"House read and passed"
1299604,2020-01-08,Senate,1,"Introduced, referred to Senate Environment and Agriculture"
1299604,2020-01-24,Senate,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1299604,2020-01-29,Senate,3,"Committee recommended measure be held for further study"
1299604,2020-02-07,Senate,4,"Scheduled for consideration (02/12/2020)"
1299604,2020-02-11,Senate,5,"Proposed Substitute"
1299604,2020-02-12,Senate,6,"Committee recommends passage of Sub A"
1299604,2020-02-13,Senate,7,"Placed on Senate Calendar (02/26/2020)"
1299604,2020-02-26,Senate,8,"Senate passed Sub A"
1299604,2020-02-27,House,9,"Referred to House Environment and Natural Resources"
1299623,2020-01-08,House,1,"House read and passed"
1299640,2020-01-08,House,1,"House read and passed"
1300208,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300208,2020-02-17,House,2,"Scheduled for hearing and/or consideration (02/26/2020)"
1300208,2020-02-26,House,3,"Committee recommended measure be held for further study"
1300214,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300214,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300214,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300220,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300220,2020-02-17,House,2,"Scheduled for hearing and/or consideration (02/26/2020)"
1300220,2020-02-26,House,3,"Committee recommended measure be held for further study"
1300225,2020-01-09,House,1,"Introduced, referred to House Finance"
1300231,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300237,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300237,2020-01-22,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1300237,2020-01-29,House,3,"Committee recommended measure be held for further study"
1300243,2020-01-09,House,1,"Introduced, referred to House Corporations"
1300243,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300243,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300250,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300250,2020-01-22,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1300250,2020-01-29,House,3,"Committee recommended measure be held for further study"
1300255,2020-01-09,House,1,"Introduced, referred to House Finance"
1300260,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300260,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1300260,2020-02-05,House,3,"Committee recommended measure be held for further study"
1300260,2020-02-24,House,4,"Scheduled for consideration (02/26/2020)"
1300260,2020-02-26,House,5,"Committee recommended measure be held for further study"
1300266,2020-01-09,House,1,"Introduced, referred to House Municipal Government"
1300266,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/13/2020)"
1300266,2020-02-13,House,3,"Committee recommended measure be held for further study"
1300272,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300272,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1300272,2020-02-05,House,3,"Committee recommended measure be held for further study"
1300276,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300276,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300276,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300282,2020-01-09,House,1,"Introduced, referred to House Special Legislation"
1300282,2020-01-24,House,2,"Scheduled for consideration (01/30/2020)"
1300282,2020-01-30,House,3,"Committee recommends passage"
1300282,2020-02-04,House,4,"Placed on the House Consent Calendar (02/06/2020)"
1300282,2020-02-06,House,5,"House read and passed"
1300282,2020-02-25,Senate,6,"Referred to Senate Judiciary"
1300289,2020-01-09,House,1,"Introduced, referred to House Finance"
1300294,2020-01-09,House,1,"Introduced, referred to House Municipal Government"
1300294,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/30/2020)"
1300294,2020-01-30,House,3,"Committee recommended measure be held for further study"
1300294,2020-06-09,House,4,"Scheduled for consideration (06/11/2020)"
1300294,2020-06-11,House,5,"Committee recommends passage"
1300294,2020-06-15,House,6,"Removed from House Consent Calendar and"
1300294,2020-06-15,House,7,"Placed on House Calendar (06/17/2020)"
1300294,2020-06-17,House,8,"House passed as amended (floor amendment)"
1300294,2020-06-17,Senate,9,"Placed on Senate Calendar (06/18/2020)"
1300294,2020-06-18,Senate,10,"Senate passed as amended in concurrence"
1300294,2020-06-18,House,11,"Transmitted to Governor"
1300294,2020-06-26,House,12,"Effective without Governor's signature"
1300299,2020-01-09,House,1,"Introduced, referred to House Finance"
1300305,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300305,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1300305,2020-01-29,House,3,"Committee recommended measure be held for further study"
1300309,2020-01-09,House,1,"Introduced, referred to House Corporations"
1300309,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300309,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300318,2020-01-09,House,1,"Introduced, referred to House Finance"
1300324,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300324,2020-03-09,House,2,"Scheduled for hearing and/or consideration (03/11/2020)"
1300324,2020-03-11,House,3,"Committee recommended measure be held for further study"
1300331,2020-01-09,House,1,"Introduced, referred to House Finance"
1300336,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300336,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/04/2020)"
1300336,2020-02-04,House,3,"Committee recommended measure be held for further study"
1300340,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300340,2020-03-06,House,2,"Scheduled for hearing and/or consideration"
1300340,2020-03-11,House,3,"Meeting postponed (03/11/2020)"
1300347,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300347,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/04/2020)"
1300347,2020-02-04,House,3,"Committee recommended measure be held for further study"
1300354,2020-01-09,House,1,"Introduced, referred to House Corporations"
1300354,2020-01-24,House,2,"Committee transferred to House Judiciary"
1300354,2020-01-31,House,3,"Scheduled for hearing and/or consideration (02/04/2020)"
1300354,2020-02-04,House,4,"Committee recommended measure be held for further study"
1300358,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300358,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1300358,2020-02-05,House,3,"Committee recommended measure be held for further study"
1300364,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300364,2020-02-17,House,2,"Scheduled for hearing and/or consideration (02/26/2020)"
1300364,2020-02-26,House,3,"Committee recommended measure be held for further study"
1300371,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300371,2020-02-28,House,2,"Scheduled for hearing and/or consideration (03/04/2020)"
1300371,2020-03-04,House,3,"Committee recommended measure be held for further study"
1300377,2020-01-09,House,1,"Introduced, referred to House Corporations"
1300377,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300377,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300382,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300382,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1300382,2020-02-05,House,3,"Committee recommended measure be held for further study"
1300390,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300390,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300390,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300396,2020-01-09,House,1,"Introduced, referred to House H.E.W."
1300396,2020-02-28,House,2,"Scheduled for hearing and/or consideration (03/04/2020)"
1300396,2020-03-04,House,3,"Committee recommended measure be held for further study"
1300403,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300403,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300403,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300409,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300409,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300409,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300412,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300412,2020-01-24,House,2,"Committee transferred to House Municipal Government"
1300412,2020-01-24,House,3,"Scheduled for hearing and/or consideration (01/30/2020)"
1300412,2020-01-30,House,4,"Committee recommended measure be held for further study"
1300412,2020-03-10,House,5,"Scheduled for consideration (03/12/2020)"
1300412,2020-03-12,House,6,"Committee recommends passage"
1300412,2020-06-15,House,7,"Placed on the House Consent Calendar (06/17/2020)"
1300412,2020-06-17,House,8,"House read and passed"
1300412,2020-06-17,Senate,9,"Placed on the Senate Consent Calendar (06/18/2020)"
1300412,2020-06-18,Senate,10,"Senate passed in concurrence"
1300412,2020-06-18,House,11,"Transmitted to Governor"
1300412,2020-06-26,House,12,"Effective without Governor's signature"
1300417,2020-01-09,House,1,"Introduced, referred to House Judiciary"
1300417,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1300417,2020-01-28,House,3,"Committee recommended measure be held for further study"
1300464,2020-01-09,House,1,"House read and passed"
1300500,2020-01-09,House,1,"House read and passed"
1300539,2020-01-09,House,1,"House read and passed"
1300576,2020-01-09,House,1,"House read and passed"
1300612,2020-01-09,House,1,"House read and passed"
1300646,2020-01-09,House,1,"House read and passed"
1300684,2020-01-09,House,1,"House read and passed"
1300720,2020-01-09,House,1,"House read and passed"
1300757,2020-01-09,House,1,"House read and passed"
1300792,2020-01-09,House,1,"House read and passed"
1301039,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301039,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1301039,2020-02-05,House,3,"Committee recommended measure be held for further study"
1301053,2020-01-10,House,1,"Introduced, referred to House H.E.W."
1301053,2020-01-22,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301053,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301066,2020-01-10,House,1,"Introduced, referred to House Special Legislation"
1301066,2020-01-24,House,2,"Scheduled for consideration (01/30/2020)"
1301066,2020-01-30,House,3,"Committee recommends passage"
1301066,2020-02-04,House,4,"Placed on the House Consent Calendar (02/06/2020)"
1301066,2020-02-06,House,5,"House read and passed"
1301066,2020-02-25,Senate,6,"Referred to Senate Judiciary"
1301081,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301081,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1301081,2020-02-05,House,3,"Committee recommended measure be held for further study"
1301095,2020-01-10,House,1,"Introduced, referred to House Labor"
1301095,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301095,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301112,2020-01-10,House,1,"Introduced, referred to House Municipal Government"
1301112,2020-01-24,House,2,"Scheduled for hearing and/or consideration"
1301112,2020-01-30,House,3,"Committee postponed at request of sponsor (01/30/2020)"
1301112,2020-03-06,House,4,"Scheduled for hearing and/or consideration (03/12/2020)"
1301112,2020-03-12,House,5,"Committee recommended measure be held for further study"
1301112,2020-06-09,House,6,"Scheduled for consideration"
1301112,2020-06-10,House,7,"Committee postponed at request of sponsor (06/11/2020)"
1301125,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301125,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1301125,2020-01-28,House,3,"Committee recommended measure be held for further study"
1301139,2020-01-10,House,1,"Introduced, referred to House Special Legislation"
1301139,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/30/2020)"
1301139,2020-01-30,House,3,"Committee recommended measure be held for further study"
1301154,2020-01-10,House,1,"Introduced, referred to House Municipal Government"
1301154,2020-01-24,House,2,"Scheduled for hearing and/or consideration"
1301154,2020-01-27,House,3,"Meeting postponed (01/30/2020)"
1301154,2020-01-27,House,4,"Committee transferred to House Corporations"
1301154,2020-01-31,House,5,"Scheduled for hearing and/or consideration (02/04/2020)"
1301154,2020-02-04,House,6,"Committee recommended measure be held for further study"
1301154,2020-02-07,House,7,"Scheduled for consideration (02/11/2020)"
1301154,2020-02-11,House,8,"Committee recommends passage"
1301154,2020-02-17,House,9,"Placed on House Calendar (02/25/2020)"
1301154,2020-02-25,House,10,"House read and passed"
1301154,2020-02-26,Senate,11,"Placed on the Senate Consent Calendar (02/26/2020)"
1301154,2020-02-26,Senate,12,"Senate passed in concurrence"
1301154,2020-02-26,House,13,"Transmitted to Governor"
1301154,2020-03-05,House,14,"Effective without Governor's signature"
1301168,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301168,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301168,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301168,2020-01-31,House,4,"Scheduled for consideration (02/04/2020)"
1301168,2020-02-04,House,5,"Committee recommends passage"
1301168,2020-02-07,House,6,"Placed on House Calendar (02/11/2020)"
1301168,2020-02-11,House,7,"House read and passed"
1301168,2020-02-25,Senate,8,"Referred to Senate Judiciary"
1301182,2020-01-10,House,1,"Introduced, referred to House Finance"
1301197,2020-01-10,House,1,"Introduced, referred to House H.E.W."
1301197,2020-01-13,House,2,"Withdrawn at sponsor's request"
1301212,2020-01-10,House,1,"Introduced, referred to House H.E.W."
1301212,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/12/2020)"
1301212,2020-02-12,House,3,"Committee recommended measure be held for further study"
1301212,2020-02-17,House,4,"Scheduled for consideration (02/26/2020)"
1301212,2020-02-26,House,5,"Committee recommends passage"
1301212,2020-02-28,House,6,"Placed on House Calendar (03/04/2020)"
1301212,2020-03-04,House,7,"House read and passed"
1301224,2020-01-10,House,1,"Introduced, referred to House Finance"
1301224,2020-01-31,House,2,"Withdrawn at sponsor's request"
1301239,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301239,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1301239,2020-01-28,House,3,"Committee recommended measure be held for further study"
1301257,2020-01-10,House,1,"Introduced, referred to House Corporations"
1301257,2020-02-17,House,2,"Scheduled for hearing and/or consideration"
1301257,2020-02-19,House,3,"Committee postponed at request of sponsor (02/25/2020)"
1301257,2020-03-06,House,4,"Scheduled for hearing and/or consideration (03/10/2020)"
1301257,2020-03-10,House,5,"Committee recommended measure be held for further study"
1301271,2020-01-10,House,1,"Introduced, referred to House H.E.W."
1301271,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/12/2020)"
1301271,2020-02-12,House,3,"Committee recommended measure be held for further study"
1301284,2020-01-10,House,1,"Introduced, referred to House Municipal Government"
1301284,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/30/2020)"
1301284,2020-01-30,House,3,"Committee recommended measure be held for further study"
1301297,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301297,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1301297,2020-02-05,House,3,"Committee recommended measure be held for further study"
1301311,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301311,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1301311,2020-01-28,House,3,"Committee recommended measure be held for further study"
1301324,2020-01-10,House,1,"Introduced, referred to House Corporations"
1301324,2020-02-05,House,2,"Committee transferred to House Finance"
1301324,2020-02-07,House,3,"Withdrawn at sponsor's request"
1301336,2020-01-10,House,1,"Introduced, referred to House Labor"
1301336,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301336,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301351,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301351,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301351,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301365,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301365,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1301365,2020-01-28,House,3,"Committee recommended measure be held for further study"
1301379,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301379,2020-01-26,House,2,"Withdrawn at sponsor's request"
1301395,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301395,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/11/2020)"
1301395,2020-02-11,House,3,"Committee recommended measure be held for further study"
1301408,2020-01-10,House,1,"Introduced, referred to House Judiciary"
1301408,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/11/2020)"
1301408,2020-02-11,House,3,"Committee recommended measure be held for further study"
1301421,2020-01-10,House,1,"Introduced, referred to House Special Legislation"
1301421,2020-01-24,House,2,"Scheduled for consideration (01/30/2020)"
1301421,2020-01-30,House,3,"Committee recommends passage"
1301421,2020-02-06,House,4,"Removed from House Consent Calendar and"
1301421,2020-02-06,House,5,"Placed on House Calendar (02/06/2020)"
1301421,2020-02-06,House,6,"House read and passed"
1301421,2020-02-25,Senate,7,"Referred to Senate Judiciary"
1301421,2020-06-12,Senate,8,"Scheduled for hearing and/or consideration (06/15/2020)"
1301421,2020-06-15,Senate,9,"Committee recommends passage in concurrence"
1301421,2020-06-15,Senate,10,"Placed on Senate Calendar (06/18/2020)"
1301421,2020-06-18,Senate,11,"Senate passed in concurrence"
1301421,2020-06-18,House,12,"Transmitted to Governor"
1301421,2020-06-24,House,13,"Signed by Governor"
1301437,2020-01-10,House,1,"Introduced, referred to House H.E.W."
1301437,2020-01-22,House,2,"Scheduled for hearing and/or consideration (01/29/2020)"
1301437,2020-01-29,House,3,"Committee recommended measure be held for further study"
1301437,2020-01-31,House,4,"Scheduled for consideration (02/05/2020)"
1301437,2020-02-03,House,5,"Proposed Substitute"
1301437,2020-02-05,House,6,"Committee recommends passage of Sub A"
1301437,2020-02-07,House,7,"Placed on House Calendar (02/11/2020)"
1301437,2020-02-11,House,8,"House passed Sub A"
1301437,2020-02-25,Senate,9,"Referred to Senate Education"
1301437,2020-07-10,Senate,10,"Scheduled for hearing and/or consideration (07/13/2020)"
1301437,2020-07-10,Senate,11,"Proposed Substitute"
1301437,2020-07-13,Senate,12,"Committee recommends passage of Sub B"
1307543,2020-01-14,Senate,1,"Placed on the Senate Consent Calendar (01/15/2020)"
1307543,2020-01-15,Senate,2,"Senate read and passed"
1307543,2020-01-16,House,3,"Referred to House Corporations"
1307543,2020-01-24,House,4,"Scheduled for hearing and/or consideration (01/28/2020)"
1307543,2020-01-28,House,5,"Committee recommended measure be held for further study"
1307543,2020-01-31,House,6,"Scheduled for consideration (02/04/2020)"
1307543,2020-02-04,House,7,"Committee recommends passage in concurrence"
1307543,2020-02-17,House,8,"Placed on House Calendar (02/25/2020)"
1307543,2020-02-25,House,9,"House passed in concurrence"
1307543,2020-02-25,Senate,10,"Transmitted to Governor"
1307543,2020-03-04,Senate,11,"Effective without Governor's signature"
1307617,2020-01-14,House,1,"House read and passed"
1307695,2020-01-14,Senate,1,"Placed on the Senate Consent Calendar (01/15/2020)"
1307695,2020-01-15,Senate,2,"Senate read and passed"
1307771,2020-01-14,House,1,"House read and passed"
1307844,2020-01-14,House,1,"House read and passed"
1307999,2020-01-15,House,1,"Introduced, referred to House Judiciary"
1307999,2020-01-20,House,2,"Scheduled for hearing and/or consideration (01/22/2020)"
1307999,2020-01-22,House,3,"Committee recommended measure be held for further study"
1307999,2020-01-24,House,4,"Scheduled for consideration"
1307999,2020-01-24,House,5,"Proposed Substitute"
1307999,2020-01-28,House,6,"Meeting postponed (01/28/2020)"
1307999,2020-01-28,House,7,"Meeting postponed (01/28/2020)"
1307999,2020-01-28,House,8,"Scheduled for consideration (01/29/2020)"
1307999,2020-01-28,House,9,"Proposed Substitute"
1307999,2020-01-29,House,10,"Committee recommends passage of Sub A"
1307999,2020-02-04,House,11,"Placed on House Calendar (02/13/2020)"
1307999,2020-02-13,House,12,"House passed Sub A as amended (floor amendment)"
1307999,2020-03-05,Senate,13,"Placed on Senate Calendar (03/11/2020)"
1307999,2020-03-11,Senate,14,"Senate passed Sub A as amended (floor amendment)"
1307999,2020-03-12,House,15,"Referred to House Judiciary"
1307999,2020-06-08,House,16,"Scheduled for consideration (06/10/2020)"
1307999,2020-06-10,House,17,"Committee recommends passage of Sub A as amended in concurrence"
1307999,2020-06-15,House,18,"Placed on House Calendar (06/17/2020)"
1307999,2020-06-17,House,19,"House passed Sub A as amended in concurrence"
1307999,2020-06-17,Senate,20,"Transmitted to Governor"
1307999,2020-06-23,Senate,21,"Signed by Governor"
1308193,2020-01-15,House,1,"Introduced, referred to House Judiciary"
1308193,2020-01-20,House,2,"Scheduled for hearing and/or consideration (01/22/2020)"
1308193,2020-01-22,House,3,"Committee recommended measure be held for further study"
1308387,2020-01-15,Senate,1,"Recommended for Immediate Consideration"
1308387,2020-01-15,Senate,2,"Senate read and passed"
1308646,2020-01-15,House,1,"Introduced, referred to House Finance"
1308695,2020-01-15,House,1,"Introduced, referred to House Finance"
1308744,2020-01-15,House,1,"Introduced, referred to House Finance"
1308790,2020-01-15,Senate,1,"Placed on the Senate Consent Calendar (01/21/2020)"
1308790,2020-01-21,Senate,2,"Senate read and passed"
1308839,2020-01-15,House,1,"Introduced, referred to House Corporations"
1308839,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/04/2020)"
1308839,2020-02-04,House,3,"Committee recommended measure be held for further study"
1308886,2020-01-15,House,1,"Introduced, referred to House Judiciary"
1308886,2020-02-07,House,2,"Scheduled for hearing and/or consideration (02/11/2020)"
1308886,2020-02-11,House,3,"Committee recommended measure be held for further study"
1308938,2020-01-15,House,1,"Introduced, referred to House H.E.W."
1308938,2020-01-31,House,2,"Scheduled for hearing and/or consideration (02/05/2020)"
1308938,2020-02-05,House,3,"Committee recommended measure be held for further study"
1308990,2020-01-15,House,1,"Introduced, referred to House Judiciary"
1308990,2020-01-20,House,2,"Scheduled for hearing and/or consideration (01/22/2020)"
1308990,2020-01-20,House,3,"Proposed Substitute"
1308990,2020-01-22,House,4,"Committee recommended indefinite postponement"
1308990,2020-01-22,House,5,"Committee recommended Substitute A be held for further study"
